emp_id,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
101344,,,,,,,,,,,,,,,,31316.94,37919.94,42574.49,6782.67,86235.03,22210.78,48594.79,40891.76,52972.97,59313.93,3508.01,57923.14,28430.99,55546.52,18533.92,94041.54,74540.5,44647.84,57616.59,73819.3,30527.4,39373.93,53905.12,61179.84,79984.39,51865.05,45374.1,73771.33,23995.15,60356.3,72215.81,71692.66,11838.91,89249.06,27869.77,64411.36,28464.54,26641.65,96997.97,3388.93,73376.48,19476.35,34585.17,8363.07
101358,,,,,,,,,,,,,,,,,55626.4,83454.43,6309.34,16344.46,28426.28,17978.52,11850.39,57564.26,63563.96,7368.24,70089.94,46431.98,20187.93,41017.83,74897.14,34572.01,23207.93,43705.71,38686.57,46647.05,60781.73,59294.64,48422.04,60055.0,76077.13,52539.52,55966.69,58423.53,26042.44,46517.44,66888.96,37936.74,63545.62,18656.02,30394.39,68414.33,97683.09,49470.8,64439.79,87540.73,11836.22,41050.87,27437.24
101371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21206.51,76346.92,77435.38,71058.17,28288.9,30550.61,26481.7,14231.47,36973.36,73850.49,74267.71,24938.55,95493.67,47416.65,62977.37,11259.76,32997.74,82429.62,89438.67,716.03,9740.0,9672.08,92476.29,18528.84,3211.47,90178.18
101407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67017.37,35483.22,16644.81,35952.46,82622.27
101410,,,,,,,,,,,,,,,,,,,,,,,,,,15212.32,4205.33,21067.77,92106.25,96380.76,94702.81,18006.63,34030.95,22331.68,28086.21,65317.47,20920.98,14295.95,91086.55,11070.91,39593.19,54681.86,87277.46,94275.63,12379.91,933.71,67351.1,13465.2,27105.66,2249.3,18835.31,25295.96,11041.92,94242.07,24928.76,93003.73,63053.7,60836.49,7385.06
101428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79418.14,51468.17,64785.4,98485.39,50511.63,7984.58,38028.77,7082.57,7837.76,56597.83
101453,,,,,,,,,,,,,,,,,,,,,,,56415.27,97646.3,18780.32,3760.66,25170.86,14656.72,33800.81,8861.59,91454.46,2716.11,12412.34,96587.32,20219.9,15845.22,24336.06,42457.63,34454.53,81082.92,22215.47,80628.99,86039.25,87882.62,39618.98,94640.71,76948.38,98292.62,74431.47,2252.15,66428.04,39903.72,68528.97,47981.21,54745.62,62344.6,46555.21,55330.11,73296.15
101475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84575.19,34928.33,84682.32,46239.56,89319.83,82884.71,20048.14,37126.91,18435.33,79669.66
101501,,,,,,,,,73128.12,60264.02,23194.75,31218.11,31952.83,8224.16,2332.56,99005.16,37316.88,29744.83,5759.12,16472.2,12783.92,72094.23,3576.09,44369.83,38985.56,62791.55,48200.72,17615.28,38415.22,24670.6,96893.82,40914.95,44575.99,43950.87,16358.09,12725.92,46263.28,70250.46,92722.41,96866.14,82877.65,16988.07,41535.61,33187.91,28560.76,88228.72,26684.02,98523.57,71248.15,61082.92,89715.61,26275.0,13656.41,91119.59,58641.62,75211.86,66787.79,90901.76,56679.66
101503,,,,,,,,,,,,,,,,,,,,,,,89601.63,37975.08,28045.85,6131.12,72368.1,2647.25,81574.9,51890.11,2394.17,51394.2,76999.14,33672.73,89317.55,77897.72,53498.86,36515.7,40137.4,59851.99,16636.73,48973.26,70884.17,14208.48,39578.37,89560.56,89626.78,91762.69,28513.92,96069.23,4268.53,34336.09,79397.74,49454.0,33637.39,9553.88,5106.65,3089.34,30032.02
101524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31024.0,50656.99,94596.39,2938.88,77555.49,50182.0,46536.06,55603.49,70114.77,12483.43
101546,,,,,,,,,,,,,,,,,,,,22405.64,79538.52,22450.85,49415.27,75755.77,74443.51,76074.97,86610.66,56835.28,83309.26,25826.53,85298.61,98502.53,48318.67,79006.94,55682.93,30594.09,58967.68,96216.78,47537.6,72055.15,68965.77,41818.6,95732.52,76749.92,12275.95,61000.89,96358.3,29563.63,32404.56,928.48,68591.42,75483.33,15974.32,82999.72,52319.29,46825.13,38654.39,97412.7,34355.61
101564,,,,,,,,,,,,,,,,,,10923.97,16801.28,13812.95,25522.43,14741.28,36376.08,40380.72,18193.65,10998.92,59393.58,90562.18,40615.27,58674.35,56133.49,59567.2,1660.17,40858.01,16623.58,51141.32,25338.2,64018.3,37744.42,1105.53,12536.99,6273.65,94515.38,23060.06,93933.08,87855.83,45457.8,6592.36,10625.39,95095.24,1639.37,70588.1,19573.02,38161.8,19767.95,26112.17,27573.83,47290.52,60545.2
